2014,162,BLA,
2014,162,BAL,96
2014,162,BOS,71
2014,162,CHW,73
2014,162,CLE,85
2014,162,DET,90
2014,162,HOU,70
2014,162,KCR,89
2014,162,ANA,98
2014,162,MIL,
2014,162,MIN,70
2014,162,NYY,84
2014,162,OAK,88
2014,162,SEA,87
2014,162,TBD,77
2014,162,TEX,67
2014,162,TOR,83
2013,163,BLA,
2013,163,BAL,85
2013,163,BOS,97
2013,163,CHW,63
2013,163,CLE,92
2013,163,DET,93
2013,163,HOU,51
2013,163,KCR,86
2013,163,ANA,78
2013,163,MIL,
2013,163,MIN,66
2013,163,NYY,85
2013,163,OAK,96
2013,163,SEA,71
2013,163,TBD,92
2013,163,TEX,91
2013,163,TOR,74
2012,162,BLA,
2012,162,BAL,93
2012,162,BOS,69
2012,162,CHW,85
2012,162,CLE,68
2012,162,DET,88
2012,162,HOU,
2012,162,KCR,72
2012,162,ANA,89
2012,162,MIL,
2012,162,MIN,66
2012,162,NYY,95
2012,162,OAK,94
2012,162,SEA,75
2012,162,TBD,90
2012,162,TEX,93
2012,162,TOR,73
2011,162,BLA,
2011,162,BAL,69
2011,162,BOS,90
2011,162,CHW,79
2011,162,CLE,80
2011,162,DET,95
2011,162,HOU,
2011,162,KCR,71
2011,162,ANA,86
2011,162,MIL,
2011,162,MIN,63
2011,162,NYY,97
2011,162,OAK,74
2011,162,SEA,67
2011,162,TBD,91
2011,162,TEX,96
2011,162,TOR,81
2010,162,BLA,
2010,162,BAL,66
2010,162,BOS,89
2010,162,CHW,88
2010,162,CLE,69
2010,162,DET,81
2010,162,HOU,
2010,162,KCR,67
2010,162,ANA,80
2010,162,MIL,
2010,162,MIN,94
2010,162,NYY,95
2010,162,OAK,81
2010,162,SEA,61
2010,162,TBD,96
2010,162,TEX,90
2010,162,TOR,85
2009,163,BLA,
2009,163,BAL,64
2009,163,BOS,95
2009,163,CHW,79
2009,163,CLE,65
2009,163,DET,86
2009,163,HOU,
2009,163,KCR,65
2009,163,ANA,97
2009,163,MIL,
2009,163,MIN,87
2009,163,NYY,103
2009,163,OAK,75
2009,163,SEA,85
2009,163,TBD,84
2009,163,TEX,87
2009,163,TOR,75
2008,163,BLA,
2008,163,BAL,68
2008,163,BOS,95
2008,163,CHW,89
2008,163,CLE,81
2008,163,DET,74
2008,163,HOU,
2008,163,KCR,75
2008,163,ANA,100
2008,163,MIL,
2008,163,MIN,88
2008,163,NYY,89
2008,163,OAK,75
2008,163,SEA,61
2008,163,TBD,97
2008,163,TEX,79
2008,163,TOR,86
2007,163,BLA,
2007,163,BAL,69
2007,163,BOS,96
2007,163,CHW,72
2007,163,CLE,96
2007,163,DET,88
2007,163,HOU,
2007,163,KCR,69
2007,163,ANA,94
2007,163,MIL,
2007,163,MIN,79
2007,163,NYY,94
2007,163,OAK,76
2007,163,SEA,88
2007,163,TBD,66
2007,163,TEX,75
2007,163,TOR,83
2006,162,BLA,
2006,162,BAL,70
2006,162,BOS,86
2006,162,CHW,90
2006,162,CLE,78
2006,162,DET,95
2006,162,HOU,
2006,162,KCR,62
2006,162,ANA,89
2006,162,MIL,
2006,162,MIN,96
2006,162,NYY,97
2006,162,OAK,93
2006,162,SEA,78
2006,162,TBD,61
2006,162,TEX,80
2006,162,TOR,87
2005,162,BLA,
2005,162,BAL,74
2005,162,BOS,95
2005,162,CHW,99
2005,162,CLE,93
2005,162,DET,71
2005,162,HOU,
2005,162,KCR,56
2005,162,ANA,95
2005,162,MIL,
2005,162,MIN,83
2005,162,NYY,95
2005,162,OAK,88
2005,162,SEA,69
2005,162,TBD,67
2005,162,TEX,79
2005,162,TOR,80
2004,162,BLA,
2004,162,BAL,78
2004,162,BOS,98
2004,162,CHW,83
2004,162,CLE,80
2004,162,DET,72
2004,162,HOU,
2004,162,KCR,58
2004,162,ANA,92
2004,162,MIL,
2004,162,MIN,92
2004,162,NYY,101
2004,162,OAK,91
2004,162,SEA,63
2004,162,TBD,70
2004,162,TEX,89
2004,162,TOR,67
2003,162,BLA,
2003,162,BAL,71
2003,162,BOS,95
2003,162,CHW,86
2003,162,CLE,68
2003,162,DET,43
2003,162,HOU,
2003,162,KCR,83
2003,162,ANA,77
2003,162,MIL,
2003,162,MIN,90
2003,162,NYY,101
2003,162,OAK,96
2003,162,SEA,93
2003,162,TBD,63
2003,162,TEX,71
2003,162,TOR,86
2002,162,BLA,
2002,162,BAL,67
2002,162,BOS,93
2002,162,CHW,81
2002,162,CLE,74
2002,162,DET,55
2002,162,HOU,
2002,162,KCR,62
2002,162,ANA,99
2002,162,MIL,
2002,162,MIN,94
2002,162,NYY,103
2002,162,OAK,103
2002,162,SEA,93
2002,162,TBD,55
2002,162,TEX,72
2002,162,TOR,78
2001,162,BLA,
2001,162,BAL,63
2001,162,BOS,82
2001,162,CHW,83
2001,162,CLE,91
2001,162,DET,66
2001,162,HOU,
2001,162,KCR,65
2001,162,ANA,75
2001,162,MIL,
2001,162,MIN,85
2001,162,NYY,95
2001,162,OAK,102
2001,162,SEA,116
2001,162,TBD,62
2001,162,TEX,73
2001,162,TOR,80
2000,162,BLA,
2000,162,BAL,74
2000,162,BOS,85
2000,162,CHW,95
2000,162,CLE,90
2000,162,DET,79
2000,162,HOU,
2000,162,KCR,77
2000,162,ANA,82
2000,162,MIL,
2000,162,MIN,69
2000,162,NYY,87
2000,162,OAK,91
2000,162,SEA,91
2000,162,TBD,69
2000,162,TEX,71
2000,162,TOR,83
1999,163,BLA,
1999,163,BAL,78
1999,163,BOS,94
1999,163,CHW,75
1999,163,CLE,97
1999,163,DET,69
1999,163,HOU,
1999,163,KCR,64
1999,163,ANA,70
1999,163,MIL,
1999,163,MIN,63
1999,163,NYY,98
1999,163,OAK,87
1999,163,SEA,79
1999,163,TBD,69
1999,163,TEX,95
1999,163,TOR,84
1998,163,BLA,
1998,163,BAL,79
1998,163,BOS,92
1998,163,CHW,80
1998,163,CLE,89
1998,163,DET,65
1998,163,HOU,
1998,163,KCR,72
1998,163,ANA,85
1998,163,MIL,
1998,163,MIN,70
1998,163,NYY,114
1998,163,OAK,74
1998,163,SEA,76
1998,163,TBD,63
1998,163,TEX,88
1998,163,TOR,88
1997,162,BLA,
1997,162,BAL,98
1997,162,BOS,78
1997,162,CHW,80
1997,162,CLE,86
1997,162,DET,79
1997,162,HOU,
1997,162,KCR,67
1997,162,ANA,84
1997,162,MIL,78
1997,162,MIN,68
1997,162,NYY,96
1997,162,OAK,65
1997,162,SEA,90
1997,162,TBD,
1997,162,TEX,77
1997,162,TOR,76
1996,162,BLA,
1996,162,BAL,88
1996,162,BOS,85
1996,162,CHW,85
1996,162,CLE,99
1996,162,DET,53
1996,162,HOU,
1996,162,KCR,75
1996,162,ANA,70
1996,162,MIL,80
1996,162,MIN,78
1996,162,NYY,92
